                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.72622,                0.79335,                 1.1163,                0.84463,                0.85885,                 0.9054,                0.74142,                0.68969,                0.75822,                  1.051,             0.00066413,             0.00066413,             0.00066413
                      2,                0.75488,                0.56848,                 1.1147,                0.89594,                0.82773,                0.92814,                0.73059,                0.82304,                 0.9705,                 1.1295,              0.0013176,              0.0013176,              0.0013176
                      3,                0.76426,                0.54417,                 1.1175,                0.89406,                0.92196,                0.96512,                0.78039,                0.74597,                0.62196,                 1.0786,              0.0019579,              0.0019579,              0.0019579
                      4,                0.73415,                 0.5055,                  1.094,                0.89873,                0.82782,                0.91514,                0.73961,                0.76102,                0.66483,                 1.0778,              0.0019406,              0.0019406,              0.0019406
                      5,                0.70488,                  0.475,                 1.0701,                0.86442,                0.83048,                0.91083,                0.75226,                0.72883,                0.66223,                 1.0634,              0.0019406,              0.0019406,              0.0019406
                      6,                0.68517,                0.45089,                 1.0664,                0.91949,                0.77741,                0.86841,                0.69359,                0.86954,                0.96219,                 1.1557,              0.0019208,              0.0019208,              0.0019208
                      7,                0.67221,                0.43384,                 1.0527,                0.93185,                 0.8273,                0.92229,                0.74773,                0.76037,                0.61681,                 1.0745,               0.001901,               0.001901,               0.001901
                      8,                0.65378,                0.41047,                  1.043,                0.92981,                0.92773,                0.97145,                0.82497,                0.63944,                0.45177,                0.98487,              0.0018812,              0.0018812,              0.0018812
                      9,                0.62289,                0.39241,                 1.0259,                 0.9656,                0.88908,                0.96435,                0.81842,                0.62814,                0.47825,                0.97846,              0.0018614,              0.0018614,              0.0018614
                     10,                0.61313,                0.38166,                 1.0213,                0.94437,                0.91298,                0.96439,                0.83315,                0.61921,                0.49695,                0.96871,              0.0018416,              0.0018416,              0.0018416
                     11,                0.64312,                0.39823,                 1.0457,                0.97687,                0.92437,                0.97451,                0.83431,                0.60988,                0.42605,                0.96963,              0.0018218,              0.0018218,              0.0018218
                     12,                0.62567,                0.38323,                 1.0325,                0.96181,                0.92857,                0.97343,                0.83051,                 0.6482,                0.49415,                 1.0022,               0.001802,               0.001802,               0.001802
                     13,                0.62657,                0.38104,                 1.0286,                0.96134,                0.93697,                0.98039,                0.85718,                0.57603,                0.43556,                0.95091,              0.0017822,              0.0017822,              0.0017822
                     14,                0.60863,                0.37044,                 1.0233,                0.97221,                0.93277,                0.98009,                0.85054,                0.59569,                0.38953,                0.95915,              0.0017624,              0.0017624,              0.0017624
                     15,                0.61491,                0.36797,                 1.0264,                0.97197,                0.91849,                0.97937,                0.85959,                0.57352,                0.38969,                0.94379,              0.0017426,              0.0017426,              0.0017426
                     16,                0.60128,                0.36128,                 1.0157,                 0.9752,                0.95847,                 0.9895,                0.86631,                0.57259,                0.32642,                0.94523,              0.0017228,              0.0017228,              0.0017228
                     17,                0.60179,                0.35062,                 1.0179,                0.94266,                0.91179,                0.96585,                0.83381,                 0.6168,                0.42881,                0.97025,               0.001703,               0.001703,               0.001703
                     18,                0.58223,                0.34495,                 1.0037,                 0.9645,                0.94202,                0.98339,                 0.8608,                0.60076,                0.40858,                0.94512,              0.0016832,              0.0016832,              0.0016832
                     19,                0.57465,                0.34618,                 1.0011,                0.97001,                0.91176,                0.96891,                0.83716,                0.61839,                0.44846,                0.97114,              0.0016634,              0.0016634,              0.0016634
                     20,                0.58663,                0.34308,                 1.0112,                0.93898,                0.90504,                0.96388,                0.83976,                0.56165,                0.43777,                 0.9327,              0.0016436,              0.0016436,              0.0016436
                     21,                0.57458,                0.33571,                 1.0044,                0.98165,                 0.9441,                0.98632,                0.86805,                0.56819,                0.40669,                0.93728,              0.0016238,              0.0016238,              0.0016238
                     22,                0.55099,                0.31923,                0.98412,                0.97289,                0.93501,                0.97685,                0.85826,                0.59503,                0.44604,                0.94582,               0.001604,               0.001604,               0.001604
                     23,                 0.5471,                0.32238,                0.98586,                0.96888,                 0.9084,                0.96604,                0.83965,                0.62821,                 0.5119,                  0.987,              0.0015842,              0.0015842,              0.0015842
                     24,                0.55263,                0.31915,                0.99224,                0.98615,                0.93529,                0.98567,                0.85701,                 0.5901,                0.34252,                0.95028,              0.0015644,              0.0015644,              0.0015644
                     25,                0.55389,                0.32132,                0.99163,                  0.978,                0.95378,                0.98571,                0.86479,                0.57944,                0.33764,                0.95447,              0.0015446,              0.0015446,              0.0015446
                     26,                 0.5733,                 0.3329,                0.99998,                0.97334,                0.95095,                0.98422,                0.87812,                0.55426,                0.40203,                 0.9385,              0.0015248,              0.0015248,              0.0015248
                     27,                0.56392,                0.32674,                0.99746,                 0.9592,                0.90924,                0.96707,                0.84841,                0.58744,                0.47765,                0.95911,               0.001505,               0.001505,               0.001505
                     28,                 0.5673,                0.32433,                  1.001,                0.97746,                 0.9473,                0.98149,                0.85488,                0.57337,                 0.3567,                 0.9494,              0.0014852,              0.0014852,              0.0014852
                     29,                0.55425,                0.32076,                0.99002,                0.98359,                0.95685,                0.98716,                0.87764,                0.55916,                0.35332,                 0.9364,              0.0014654,              0.0014654,              0.0014654
                     30,                0.55148,                0.31057,                 0.9927,                 0.9696,                0.93812,                0.97229,                0.85633,                0.57159,                0.36574,                0.95713,              0.0014456,              0.0014456,              0.0014456
                     31,                0.57047,                0.32366,                  1.006,                0.98451,                 0.9611,                0.99021,                0.87903,                0.53651,                0.30856,                0.91996,              0.0014258,              0.0014258,              0.0014258
                     32,                 0.5532,                0.31583,                0.99141,                 0.9693,                0.95512,                0.98565,                0.87619,                 0.5409,                0.32009,                0.93006,               0.001406,               0.001406,               0.001406
                     33,                0.56122,                 0.3168,                0.99473,                0.95276,                0.96602,                0.98867,                0.87736,                0.56117,                0.34214,                0.94932,              0.0013862,              0.0013862,              0.0013862
                     34,                0.56066,                0.31431,                0.99593,                0.98434,                0.95107,                0.98756,                0.88101,                0.54913,                 0.3763,                0.92966,              0.0013664,              0.0013664,              0.0013664
                     35,                0.54861,                 0.3135,                0.98871,                0.98143,                0.94286,                0.98104,                0.87459,                0.53892,                0.35234,                0.92135,              0.0013466,              0.0013466,              0.0013466
                     36,                0.54852,                 0.3108,                0.98773,                0.95963,                0.88487,                0.95181,                0.84308,                0.54825,                0.51625,                0.93726,              0.0013268,              0.0013268,              0.0013268
                     37,                0.53951,                0.30662,                0.98763,                0.98852,                0.95042,                0.98671,                 0.8766,                0.53925,                0.30808,                0.93271,               0.001307,               0.001307,               0.001307
                     38,                0.54195,                0.30548,                0.98449,                0.98703,                0.95903,                0.99051,                 0.8788,                0.54342,                0.31123,                0.91925,              0.0012872,              0.0012872,              0.0012872
                     39,                 0.5185,                0.28846,                0.97024,                0.98394,                0.97806,                0.99183,                0.88463,                0.52297,                0.29662,                0.91558,              0.0012674,              0.0012674,              0.0012674
                     40,                0.51588,                0.28989,                0.96986,                0.98744,                0.96134,                 0.9883,                0.87613,                0.54651,                0.32019,                0.92938,              0.0012476,              0.0012476,              0.0012476
                     41,                0.52441,                0.29712,                0.97992,                0.98062,                0.96975,                0.98877,                0.88615,                0.52432,                0.31227,                0.91725,              0.0012278,              0.0012278,              0.0012278
                     42,                0.51453,                0.29125,                0.97455,                0.97692,                0.97143,                0.99037,                0.87412,                0.55372,                0.29582,                0.93554,               0.001208,               0.001208,               0.001208
                     43,                0.52724,                0.29553,                0.97567,                0.97558,                0.97351,                0.99021,                0.88537,                 0.5335,                0.30986,                0.92559,              0.0011882,              0.0011882,              0.0011882
                     44,                0.52378,                0.29063,                0.97865,                0.98065,                0.97929,                0.99148,                0.88516,                0.53785,                0.29445,                 0.9202,              0.0011684,              0.0011684,              0.0011684
                     45,                0.52148,                0.28802,                 0.9777,                0.99167,                0.96387,                0.98824,                0.87988,                0.52647,                0.28606,                 0.9201,              0.0011486,              0.0011486,              0.0011486
                     46,                0.50855,                0.28539,                0.96846,                 0.9809,                0.96723,                0.98867,                0.87789,                0.55081,                0.30169,                0.92695,              0.0011288,              0.0011288,              0.0011288
                     47,                 0.5073,                0.27654,                0.96943,                0.98415,                0.97479,                0.98994,                0.88201,                0.52001,                 0.2878,                0.91025,               0.001109,               0.001109,               0.001109
                     48,                0.51953,                0.28177,                0.97904,                0.98677,                0.95462,                0.98654,                0.87988,                0.54209,                0.31008,                0.92791,              0.0010892,              0.0010892,              0.0010892
                     49,                0.50853,                0.28062,                0.96848,                0.98634,                0.97086,                0.98998,                0.88901,                 0.5353,                0.29542,                0.92674,              0.0010694,              0.0010694,              0.0010694
                     50,                0.51408,                 0.2795,                0.97045,                0.99217,                0.95881,                0.98775,                0.87795,                0.53011,                0.29853,                0.92395,              0.0010496,              0.0010496,              0.0010496
                     51,                0.51446,                0.27581,                0.97283,                0.98233,                0.96891,                0.99129,                0.88574,                 0.5244,                0.29917,                0.91442,              0.0010298,              0.0010298,              0.0010298
                     52,                0.48611,                0.26569,                0.95503,                0.98975,                0.97335,                0.98969,                0.88585,                0.52574,                0.28048,                0.92047,                0.00101,                0.00101,                0.00101
                     53,                0.48322,                0.26739,                0.95504,                0.98963,                0.97227,                0.98892,                0.89085,                0.52099,                0.29005,                0.91369,              0.0009902,              0.0009902,              0.0009902
                     54,                0.44698,                0.25095,                 0.9363,                0.98877,                 0.9616,                0.98836,                0.88655,                0.52375,                0.30554,                 0.9204,              0.0009704,              0.0009704,              0.0009704
                     55,                0.44483,                0.25226,                0.93639,                0.99213,                0.95367,                 0.9869,                0.88487,                0.53002,                0.31165,                0.91848,              0.0009506,              0.0009506,              0.0009506
                     56,                0.49137,                0.26904,                0.96229,                0.98736,                0.96555,                0.99001,                0.88706,                0.50641,                0.28171,                0.90859,              0.0009308,              0.0009308,              0.0009308
                     57,                0.48497,                0.26533,                0.96008,                0.98732,                0.96303,                0.98992,                0.88625,                0.52283,                0.28455,                0.91894,               0.000911,               0.000911,               0.000911
                     58,                0.49439,                0.26905,                0.95894,                0.98249,                0.96891,                0.98983,                0.88556,                0.51441,                0.28927,                0.90562,              0.0008912,              0.0008912,              0.0008912
                     59,                0.48684,                0.26437,                0.95904,                 0.9863,                 0.9563,                0.98829,                0.88742,                0.51677,                0.29686,                0.91024,              0.0008714,              0.0008714,              0.0008714
                     60,                0.48385,                0.26118,                0.95964,                0.98321,                0.97815,                0.98876,                0.88163,                0.53091,                0.28423,                0.91573,              0.0008516,              0.0008516,              0.0008516
                     61,                0.47477,                0.26275,                0.95175,                0.98434,                0.94958,                0.98382,                0.88256,                  0.544,                0.34734,                0.92114,              0.0008318,              0.0008318,              0.0008318
                     62,                0.46926,                0.25481,                0.95233,                0.98371,                0.96432,                0.98611,                 0.8853,                0.51967,                0.30612,                0.91575,               0.000812,               0.000812,               0.000812
                     63,                0.48169,                0.25834,                0.96072,                0.99128,                0.95554,                0.98963,                0.88809,                0.52308,                0.30104,                0.91477,              0.0007922,              0.0007922,              0.0007922
                     64,                0.46821,                0.25396,                0.95033,                0.98663,                0.96471,                0.98857,                0.89453,                0.50719,                0.29645,                0.91168,              0.0007724,              0.0007724,              0.0007724
                     65,                0.47373,                0.25569,                0.95196,                0.98558,                0.96891,                0.98856,                0.89078,                0.51658,                0.29317,                0.91509,              0.0007526,              0.0007526,              0.0007526
                     66,                  0.472,                0.24897,                0.95207,                0.99132,                 0.9601,                0.98733,                0.88603,                0.52457,                0.29899,                0.91659,              0.0007328,              0.0007328,              0.0007328
                     67,                0.48522,                0.25959,                0.96062,                0.98327,                0.96975,                0.98897,                0.88354,                0.53282,                0.28318,                0.92823,               0.000713,               0.000713,               0.000713
                     68,                  0.483,                0.25907,                0.95872,                0.96255,                0.97181,                0.98652,                 0.8833,                0.51459,                0.29103,                0.91451,              0.0006932,              0.0006932,              0.0006932
                     69,                0.47823,                0.25666,                0.95877,                0.98632,                0.97815,                0.99245,                0.89283,                0.51269,                 0.2586,                0.91186,              0.0006734,              0.0006734,              0.0006734
                     70,                0.47749,                0.25347,                0.95237,                0.98642,                0.97641,                0.99245,                0.89371,                0.51559,                0.26053,                0.90384,              0.0006536,              0.0006536,              0.0006536
                     71,                0.49399,                0.25944,                0.95877,                0.99304,                0.95862,                0.98937,                0.88366,                 0.5102,                0.26391,                0.90784,              0.0006338,              0.0006338,              0.0006338
                     72,                0.48916,                0.25254,                0.95958,                0.98472,                0.97563,                0.98921,                0.89025,                0.50866,                0.26194,                0.90575,               0.000614,               0.000614,               0.000614
                     73,                0.47876,                0.24873,                0.95352,                0.98343,                0.97059,                0.99145,                0.89548,                0.50837,                0.28759,                0.90938,              0.0005942,              0.0005942,              0.0005942
                     74,                0.48179,                0.25331,                0.96011,                0.98794,                0.96381,                0.99162,                0.89371,                0.50929,                0.25583,                0.90102,              0.0005744,              0.0005744,              0.0005744
                     75,                0.48279,                0.25554,                0.95813,                0.98375,                0.96679,                0.98993,                0.89315,                 0.5059,                0.27818,                0.90437,              0.0005546,              0.0005546,              0.0005546
                     76,                0.47628,                0.25071,                0.95298,                0.98829,                0.96639,                 0.9913,                0.89888,                0.49201,                0.27492,                0.89881,              0.0005348,              0.0005348,              0.0005348
                     77,                0.47186,                0.24516,                0.95363,                0.98253,                0.97899,                0.99168,                0.90021,                0.48909,                0.25332,                0.89875,               0.000515,               0.000515,               0.000515
                     78,                0.47204,                0.24513,                0.95404,                0.99087,                0.98151,                0.99156,                0.89387,                0.49972,                0.25349,                0.90348,              0.0004952,              0.0004952,              0.0004952
                     79,                0.48015,                0.24798,                0.95962,                0.98314,                0.98022,                0.99136,                0.89437,                0.50245,                0.25344,                0.90461,              0.0004754,              0.0004754,              0.0004754
                     80,                0.46217,                0.23965,                0.94562,                0.99396,                0.96848,                0.99082,                0.89643,                0.50018,                  0.264,                0.90372,              0.0004556,              0.0004556,              0.0004556
                     81,                0.46069,                0.23988,                0.94603,                 0.9888,                0.96486,                 0.9907,                0.89174,                0.50718,                 0.2579,                0.90766,              0.0004358,              0.0004358,              0.0004358
                     82,                0.46909,                0.24265,                0.95127,                0.99256,                0.96891,                0.99157,                0.89379,                0.51082,                 0.2668,                0.91044,               0.000416,               0.000416,               0.000416
                     83,                0.42574,                0.22508,                0.93012,                0.98896,                0.97904,                0.99194,                0.89807,                0.50634,                0.25641,                0.90945,              0.0003962,              0.0003962,              0.0003962
                     84,                0.42426,                0.22667,                0.92977,                0.98805,                0.97273,                0.98974,                0.89575,                0.49863,                0.26216,                0.90455,              0.0003764,              0.0003764,              0.0003764
                     85,                0.43551,                0.22924,                0.93845,                0.99042,                0.97731,                0.99206,                0.90221,                0.50351,                0.24596,                0.90393,              0.0003566,              0.0003566,              0.0003566
                     86,                0.42671,                0.22495,                0.93503,                0.98554,                0.97385,                0.99143,                0.89914,                0.50082,                0.25692,                0.90595,              0.0003368,              0.0003368,              0.0003368
                     87,                0.43285,                0.22801,                0.93343,                0.99012,                0.96555,                0.98981,                0.89379,                0.50822,                0.27006,                0.90894,               0.000317,               0.000317,               0.000317
                     88,                0.42339,                0.22086,                 0.9326,                0.99016,                0.96555,                0.98857,                0.89541,                0.50784,                0.27287,                0.91032,              0.0002972,              0.0002972,              0.0002972
                     89,                0.42553,                0.22067,                0.93471,                0.98998,                0.97227,                0.98937,                0.89534,                0.50345,                0.26255,                0.90812,              0.0002774,              0.0002774,              0.0002774
                     90,                0.41753,                0.21931,                0.92876,                0.98636,                0.97205,                0.99082,                0.89914,                0.50349,                0.25696,                0.90621,              0.0002576,              0.0002576,              0.0002576
                     91,                0.33479,                0.16254,                0.86242,                0.98371,                0.96975,                0.98799,                0.89184,                0.50951,                0.26537,                0.90823,              0.0002378,              0.0002378,              0.0002378
                     92,                0.33079,                0.15859,                0.85278,                0.98833,                0.96555,                0.98785,                0.89417,                0.50768,                0.27023,                0.91084,               0.000218,               0.000218,               0.000218
                     93,                0.32669,                0.15714,                0.85137,                0.98642,                0.97681,                0.99041,                0.89876,                0.50248,                0.25151,                0.90679,              0.0001982,              0.0001982,              0.0001982
                     94,                0.32836,                0.15588,                0.85342,                0.98808,                0.97483,                0.99215,                0.90268,                0.49685,                0.23839,                0.90255,              0.0001784,              0.0001784,              0.0001784
                     95,                0.32361,                0.15372,                0.85169,                0.98608,                0.98067,                0.99219,                0.90289,                0.49797,                0.24007,                0.90341,              0.0001586,              0.0001586,              0.0001586
                     96,                0.32022,                0.15135,                0.84768,                0.98978,                0.97678,                0.99143,                 0.9029,                 0.4939,                 0.2395,                0.89932,              0.0001388,              0.0001388,              0.0001388
                     97,                0.31971,                0.15203,                0.85014,                0.98974,                0.97257,                0.99156,                0.90252,                0.49751,                0.24692,                0.90032,               0.000119,               0.000119,               0.000119
                     98,                0.31839,                0.15072,                0.84745,                0.98991,                0.97479,                0.99225,                0.90331,                0.49625,                0.24377,                0.90034,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.29969,                0.14387,                0.83864,                0.98731,                0.97563,                0.99238,                0.90293,                0.49785,                0.24645,                0.90345,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.29543,                0.14122,                0.83735,                0.99313,                0.97221,                0.99234,                0.90451,                 0.4938,                0.24173,                0.90074,               5.96e-05,               5.96e-05,               5.96e-05
